budget_year,account_type,department,fund_code,account_category,bu_description,amount
FY14-15,Expense,Administrative,10101,Transfer Guaranteed Pension,,3501900
FY14-15,Expense,Administrative,10101,Transfer Guaranteed Pension,,6900400
FY14-15,Expense,Administrative,10101,Employer Group Health,,43596876
FY14-15,Expense,Administrative,10101,Employer Dental Group,,2509812
FY14-15,Expense,Administrative,10101,Transfer Operational,,200000
FY14-15,Expense,Administrative,10101,Transfer IOD Pensioner,,8962000
FY14-15,Expense,Administrative,10101,Insurance-Unemployment Comp,,152268
FY14-15,Expense,Administrative,10101,Employer Group Life,,1795120
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,155700
FY14-15,Expense,Administrative,10101,IDB-Industrial Development Bd,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,900000
FY14-15,Expense,Administrative,10101,Transfer IOD Employee,,11980200
FY14-15,Expense,Administrative,10101,Recording,,2249
FY14-15,Expense,Administrative,10101,Rent Building & Land,,426437
FY14-15,Expense,Administrative,10101,Management Consultant,,69099
FY14-15,Expense,Administrative,10101,IDB-Industrial Development Bd,,600000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Transfer Operational,,2400000
FY14-15,Expense,Administrative,10101,Transfer Operational,,543342
FY14-15,Expense,Administrative,10101,MTA,,0
FY14-15,Expense,Administrative,10101,Fringe Benefits,,0
FY14-15,Expense,Administrative,10101,Employer Group Health,,0
FY14-15,Expense,Administrative,10101,Employer Pension,,0
FY14-15,Expense,Administrative,10101,Employer Pension,,37844
FY14-15,Expense,Administrative,10101,Telecmmnct'n Charge,,0
FY14-15,Expense,Administrative,10101,Building Relocation,,0
FY14-15,Expense,Administrative,10101,Transfer Operational,,4000000
FY14-15,Expense,Administrative,10101,Transfer Operational,,71558
FY14-15,Expense,Administrative,10101,Transfer Operational,,1958300
FY14-15,Expense,Administrative,10101,SPA,,5851500
FY14-15,Expense,Administrative,10101,SPA,,650000
FY14-15,Expense,Administrative,10101,Awrd Rwrd Royalty,,0
FY14-15,Expense,Administrative,10101,Transfer Stadium Debt,,3200000
FY14-15,Expense,Administrative,10101,Management Consultant,,80000
FY14-15,Expense,Administrative,10101,Stormwater,,120
FY14-15,Expense,Administrative,10101,Transfer Operational,,285400
FY14-15,Expense,Administrative,10101,Transfer Farm Mkt Subsidy,,259600
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,1500000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,24922
FY14-15,Expense,Administrative,10101,Insurance-Buildings,,256600
FY14-15,Expense,Administrative,10101,Insurance-Liab/PropDmg,,1074700
FY14-15,Expense,Administrative,10101,Insurance-Premium J&L,,0
FY14-15,Expense,Administrative,10101,Insurance-Surety Bond,,17300
FY14-15,Expense,Administrative,10101,Management Consultant,,66000
FY14-15,Expense,Administrative,10101,Membership Dues,,362788
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,15000
FY14-15,Expense,Administrative,10101,MTA,,33370600
FY14-15,Expense,Administrative,10101,Insurance-Premium J&L,,2029900
FY14-15,Expense,Administrative,10101,Longevity,,0
FY14-15,Expense,Administrative,10101,Pay Plan Improvement,,0
FY14-15,Expense,Administrative,10101,Cntribute/Grant Person,,3052021
FY14-15,Expense,Administrative,10101,Employee Travel,,0
FY14-15,Expense,Administrative,10101,Employee Out-of-town Travel,,102445
FY14-15,Expense,Administrative,10101,Employee Air Travel,,21890
FY14-15,Expense,Administrative,10101,Registration,,30017
FY14-15,Expense,Administrative,10101,Accounting Service,,1054716
FY14-15,Expense,Administrative,10101,Management Consultant,,354330
FY14-15,Expense,Administrative,10101,Auditing Service,,0
FY14-15,Expense,Administrative,10101,Pre-Employment Checks,,84
FY14-15,Expense,Administrative,10101,Postage & Delivery Srvc,,0
FY14-15,Expense,Administrative,10101,Printing/Binding,,2815
FY14-15,Expense,Administrative,10101,Tuit'n Reg & Mmbrshp Dues,,0
FY14-15,Expense,Administrative,10101,Registration,,1095
FY14-15,Expense,Administrative,10101,Host & Hostess,,207
FY14-15,Expense,Administrative,10101,Offc & Admin Supply,,0
FY14-15,Expense,Administrative,10101,Supplies & Materials,,0
FY14-15,Expense,Administrative,10101,Transfer Operational,,136945
FY14-15,Expense,Administrative,10101,SPA,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,250000
FY14-15,Expense,Administrative,10101,Hospital Authority,,43917800
FY14-15,Expense,Administrative,10101,Transfer Operational,,415000
