budget_year,account_type,department,fund_code,account_category,bu_description,amount
FY15-16,Expense,Administrative,10101,Transfer Guaranteed Pension,,3501900
FY15-16,Expense,Administrative,10101,Transfer Guaranteed Pension,,6900400
FY15-16,Expense,Administrative,10101,Employer Group Health,,43744375
FY15-16,Expense,Administrative,10101,Employer Dental Group,,2547803
FY15-16,Expense,Administrative,10101,Transfer Operational,,200000
FY15-16,Expense,Administrative,10101,Transfer IOD Pensioner,,11180900
FY15-16,Expense,Administrative,10101,Insurance-Unemployment Comp,,141047
FY15-16,Expense,Administrative,10101,Employer Group Life,,2865293
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,155700
FY15-16,Expense,Administrative,10101,IDB-Industrial Development Bd,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,732000
FY15-16,Expense,Administrative,10101,Transfer IOD Employee,,9094500
FY15-16,Expense,Administrative,10101,Recording,,573
FY15-16,Expense,Administrative,10101,Rent Building & Land,,328305
FY15-16,Expense,Administrative,10101,Management Consultant,,57889
FY15-16,Expense,Administrative,10101,IDB-Industrial Development Bd,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Transfer Operational,,0
FY15-16,Expense,Administrative,10101,Transfer Operational,,0
FY15-16,Expense,Administrative,10101,MTA,,528411
FY15-16,Expense,Administrative,10101,Fringe Benefits,,0
FY15-16,Expense,Administrative,10101,Employer Group Health,,0
FY15-16,Expense,Administrative,10101,Employer Pension,,0
FY15-16,Expense,Administrative,10101,Employer Pension,,37164
FY15-16,Expense,Administrative,10101,Telecmmnct'n Charge,,0
FY15-16,Expense,Administrative,10101,Building Relocation,,0
FY15-16,Expense,Administrative,10101,Transfer Operational,,4000000
FY15-16,Expense,Administrative,10101,Transfer Operational,,95014
FY15-16,Expense,Administrative,10101,Transfer Operational,,1849500
FY15-16,Expense,Administrative,10101,SPA,,5851500
FY15-16,Expense,Administrative,10101,SPA,,650000
FY15-16,Expense,Administrative,10101,Awrd Rwrd Royalty,,0
FY15-16,Expense,Administrative,10101,Transfer Stadium Debt,,3200000
FY15-16,Expense,Administrative,10101,Management Consultant,,44853
FY15-16,Expense,Administrative,10101,Stormwater,,120
FY15-16,Expense,Administrative,10101,Transfer Operational,,0
FY15-16,Expense,Administrative,10101,Transfer Farm Mkt Subsidy,,859500
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,1500000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,250000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,25000
FY15-16,Expense,Administrative,10101,Insurance-Buildings,,600200
FY15-16,Expense,Administrative,10101,Insurance-Liab/PropDmg,,1075100
FY15-16,Expense,Administrative,10101,Insurance-Premium J&L,,6500
FY15-16,Expense,Administrative,10101,Insurance-Surety Bond,,17300
FY15-16,Expense,Administrative,10101,Management Consultant,,72000
FY15-16,Expense,Administrative,10101,Membership Dues,,379089
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,MTA,,36370600
FY15-16,Expense,Administrative,10101,Insurance-Premium J&L,,1416100
FY15-16,Expense,Administrative,10101,Longevity,,0
FY15-16,Expense,Administrative,10101,Pay Plan Improvement,,0
FY15-16,Expense,Administrative,10101,Cntribute/Grant Person,,3200000
FY15-16,Expense,Administrative,10101,Employee Travel,,0
FY15-16,Expense,Administrative,10101,Employee Out-of-town Travel,,120716
FY15-16,Expense,Administrative,10101,Employee Air Travel,,31766
FY15-16,Expense,Administrative,10101,Registration,,35685
FY15-16,Expense,Administrative,10101,Accounting Service,,869514
FY15-16,Expense,Administrative,10101,Management Consultant,,98025
FY15-16,Expense,Administrative,10101,Auditing Service,,0
FY15-16,Expense,Administrative,10101,Pre-Employment Checks,,0
FY15-16,Expense,Administrative,10101,Postage & Delivery Srvc,,0
FY15-16,Expense,Administrative,10101,Printing/Binding,,2408
FY15-16,Expense,Administrative,10101,Tuit'n Reg & Mmbrshp Dues,,0
FY15-16,Expense,Administrative,10101,Registration,,1095
FY15-16,Expense,Administrative,10101,Host & Hostess,,0
FY15-16,Expense,Administrative,10101,Offc & Admin Supply,,0
FY15-16,Expense,Administrative,10101,Supplies & Materials,,0
FY15-16,Expense,Administrative,10101,Transfer Operational,,127045
FY15-16,Expense,Administrative,10101,SPA,,250000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Hospital Authority,,35000000
FY15-16,Expense,Administrative,10101,Transfer Operational,,549000
FY15-16,Expense,Administrative,10101,Management Consultant,,70058
FY15-16,Expense,Administrative,10101,Facilities Maint & Security,,0
FY15-16,Expense,Administrative,10101,Facilities Maint & Security,,0
FY15-16,Expense,Administrative,10101,MDHA Property Tax Increments,,0
FY15-16,Expense,Administrative,10101,Cashier Shortages,,0
FY15-16,Expense,Administrative,10101,Discounts Available,,-3515
FY15-16,Expense,Administrative,10101,Discounts Lost,,3384
FY15-16,Expense,Administrative,10101,Transfer 4%,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,15000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,200000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,178597
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,300000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,12500
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,60000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,278500
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,152500
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,100000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,43500
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,300000
FY15-16,Expense,Administrative,10101,Electric,,0
FY15-16,Expense,Administrative,10101,Water,,0
FY15-16,Expense,Administrative,10101,Gas,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,107399
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Transfer Operational,,500000
FY15-16,Expense,Administrative,10101,Transfer HOT Short-term Rental,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,100000
FY15-16,Expense,Administrative,10101,Management Consultant,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,13000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,18756
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,33700
FY15-16,Expense,Administrative,10101,Transfer Community Ed,,346500
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,43600
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,91265
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,78800
FY15-16,Expense,Administrative,10101,Medical Services,,11629666
FY15-16,Expense,Administrative,10101,Medical Services,,4495227
FY15-16,Expense,Administrative,10101,Rent Building & Land,,78273
FY15-16,Expense,Administrative,10101,Rent Equipment,,0
FY15-16,Expense,Administrative,10101,Regular Pay,,0
FY15-16,Expense,Administrative,10101,Pay Plan Improvement,,0
FY15-16,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,0
